,userid,1,2,3,4,5
0,4,Manual9,Manual8,Manual7,Manual6,Quick Start
1,26,Hill,Manual9,Random,Create your own speed incline,Manual8
2,5,Speed Training,FootHills,Around the world,Army workout,Heartrate-Hill
3,60,Random,Hill,Manual0,Fatburn,Around the world
4,73,Random,Hill,Manual0,Around the world,Extreme Heartrate
5,82,Cascades,Manual9,Manual8,FootHills,Manual7
6,92,Manual9,Manual,Manual8,Manual7,Manual6
7,134,Manual0,Manual9,Manual,Manual5,Manual7
8,140,Manual9,Manual8,Manual7,Manual6,Quick Start
9,131,Manual9,Manual0,Manual8,Manual7,Manual6
10,609,Manual9,Manual8,Manual7,Manual6,Extreme Heartrate
11,579,Manual9,Manual8,Manual7,Manual6,Quick Start
12,253,Manual0,Random,Manual9,Manual,Manual5
13,137,Manual9,Manual,Manual8,Fatburn,Manual7
14,478,Manual9,Manual8,Manual0,Manual7,Manual6
15,1095,Fatburn,Manual9,Manual8,Manual7,Manual6
16,1326,FootHills,Random,Cascades,Speed Training,Sports Training-5K
17,1274,Manual9,Manual8,Manual7,Manual6,Manual5
18,51,Manual9,Create your own speed incline,Manual8,Manual7,Manual6
19,1948,Manual9,Manual8,Manual7,Manual6,Quick Start
20,48,Manual9,Manual8,Manual7,Manual6,Quick Start
21,49,Manual9,Speed Interval,Manual8,Quick Start,Manual7
22,1904,Random,Manual0,Fittest Workout,Speed Training,PEB workout
23,2833,Manual0,Manual9,Quick Start,Extreme Heartrate,Manual8
24,3026,Random,Create your own speed incline,Hill,Heartrate-Interval,Manual0
25,3036,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
26,53,Manual9,Manual8,Random,Manual7,Manual0
27,2798,Manual9,Manual8,Manual7,Manual6,Quick Start
28,3441,WFISubMax workout,PEB workout,Distance goal,Fittest Workout,Fatburn
29,121,Manual9,Fatburn,Manual8,Manual7,Manual6
30,725,Manual9,Extreme Heartrate,Manual8,Manual7,Manual0
31,4485,Manual9,Manual8,Manual7,Manual6,Manual0
32,610,Manual9,Manual8,Manual7,Manual6,Create your own speed incline
33,2722,Manual9,Manual8,Manual7,Manual6,Quick Start
34,5465,Manual0,Manual9,Manual,Manual5,Manual7
35,1888,Manual9,Manual8,Manual7,Manual0,Manual6
36,5663,Manual9,Manual8,Manual7,Manual6,Quick Start
37,7091,Heartrate-Hill,Quick Start,Heartrate-Interval,Manual9,Extreme Heartrate
38,7193,Manual9,Manual8,Manual7,Manual0,Manual6
39,581,Manual9,Manual8,Manual7,Manual6,Quick Start
40,9390,Manual9,Random,Sports Training-10K,Manual8,Manual7
41,9413,Fittest Workout,Heartrate-Interval,Extreme Heartrate,Heartrate-Hill,Create your own speed incline
42,512,Manual0,Manual9,Manual,Manual5,Manual7
43,10239,Manual9,Manual8,Manual7,Manual6,Quick Start
44,10282,Manual9,Manual8,Manual7,Manual6,Quick Start
45,10391,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
46,6483,Manual9,Manual8,Manual7,Quick Start,Manual6
47,11205,Manual0,Manual9,Manual,Manual5,Manual7
48,11169,Manual0,Manual9,Manual8,Quick Start,Manual7
49,11189,Manual9,Manual8,Manual7,Manual6,Quick Start
50,11344,WFISubMax workout,Cardio,FootHills,Gerkin workout,Marine workout
51,12751,Manual9,Manual8,Manual7,Manual6,Quick Start
52,13063,Manual9,Manual8,Manual7,Manual6,Quick Start
53,11460,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
54,12975,Extreme Heartrate,Random,Manual0,Manual9,Fatburn
55,13157,Around the world,Speed Training,Cascades,Kilimanjaro,Manual0
56,13504,Fatburn,FootHills,Fittest Workout,Heartrate-Interval,Extreme Heartrate
57,13347,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
58,13766,Manual0,Manual9,Manual,Cardio,Quick Start
59,13993,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
60,9917,Random,Hill,Around the world,Quick Start,Heartrate-Interval
61,14899,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
62,15084,Extreme Heartrate,Hill,Quick Start,Heartrate-Hill,Manual0
63,15102,Manual9,Manual8,Manual7,Random,Manual6
64,9319,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
65,15412,Manual9,Manual8,Manual7,Manual6,Quick Start
66,14654,Fittest Workout,Heartrate-Interval,Extreme Heartrate,Heartrate-Hill,WFISubMax workout
67,15546,Manual9,Manual8,Manual7,Manual6,Quick Start
68,16231,Manual9,WFISubMax workout,Manual8,PEB workout,Manual7
69,16582,Random,Manual0,Fittest Workout,Speed Training,Fatburn
70,16769,Manual9,Manual8,Manual7,Manual6,Quick Start
71,16966,Manual0,Manual9,Manual,Manual5,Manual7
72,16577,Manual9,Manual8,Manual7,Manual6,Quick Start
73,17081,Speed Interval,Manual0,Custom1 Workout,Heartrate-Interval,Manual9
74,17285,Fittest Workout,Heartrate-Interval,Extreme Heartrate,Cardio,Heartrate-Hill
75,17444,Manual9,Manual8,Manual7,Manual6,Manual5
76,3211,Manual0,Manual9,Extreme Heartrate,Manual,Manual5
77,17614,Fatburn,WFISubMax workout,PEB workout,Fittest Workout,Distance goal
78,17643,Manual9,Manual8,Manual7,Manual6,Quick Start
79,18063,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
80,17593,Manual0,Manual9,Quick Start,Manual8,Manual7
81,18337,Cascades,Heartrate-Hill,Speed Training,FootHills,Around the world
82,18517,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
83,18669,Manual9,Manual8,Manual7,Manual6,Quick Start
84,18733,Manual9,Manual8,Manual7,Manual6,Quick Start
85,16513,Manual0,Manual9,Quick Start,Manual8,Manual7
86,19202,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
87,20173,Manual9,Manual8,Manual7,Manual6,Quick Start
88,20379,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
89,21004,Random,Manual0,Fittest Workout,Speed Training,PEB workout
90,21373,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
91,22042,Manual9,Manual8,Manual7,Manual6,Manual5
92,9760,Create your own heart rate,Manual9,Manual8,Manual7,Fatburn
93,22961,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
94,22974,Manual0,Manual9,Manual8,Quick Start,Manual7
95,24348,Cascades,Speed Training,FootHills,Around the world,Heartrate-Hill
96,25506,Manual9,Manual8,Manual7,Manual6,Create your own speed incline
97,25881,Manual9,Manual8,Manual7,Manual6,Quick Start
98,26113,WFISubMax workout,Target HR Goal,Custom1 Workout,Create your own speed incline,Create your own heart rate
99,22495,WFISubMax workout,Manual0,PEB workout,Manual9,Manual
100,26408,Speed Training,Hill,Around the world,FootHills,Army workout
101,26523,Hill,Manual0,Around the world,Extreme Heartrate,Fatburn
102,27465,Manual9,WFISubMax workout,Manual8,PEB workout,Manual7
103,583,Manual9,Manual8,Manual7,Manual6,Quick Start
